"activities-heart__value__restingHeartRate","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__heartRateZones__min","activities-heart__dateTime","activities-heart-intraday__datasetType","activities-heart-intraday__datasetInterval","activities-heart-intraday__dataset__value","activities-heart-intraday__dataset__time"
"","","","","","","","","","77","00:33:40"
"","","","","","","","","","77","00:33:55"
"","","","","","","","","","77","00:34:05"
"","","","","","","","","","76","00:34:10"
"","","","","","","","","","74","00:34:20"
"","","","","","","","","","73","00:34:25"
"","","","","","","","","","74","00:34:35"
"","","","","","","","","","74","00:34:50"
"","","","","","","","","","74","00:35:00"
"","","","","","","","","","74","00:35:15"
"","","","","","","","","","74","00:35:30"
"","","","","","","","","","72","00:35:40"
"","","","","","","","","","72","00:35:55"
"","","","","","","","","","70","00:36:10"
"","","","","","","","","","71","00:36:20"
"","","","","","","","","","71","00:36:35"
"","","","","","","","","","71","00:36:40"
"","","","","","","","","","71","00:36:55"
"","","","","","","","","","72","00:37:00"
"","","","","","","","","","73","00:37:05"
"","","","","","","","","","74","00:37:10"
"","","","","","","","","","76","00:37:15"
"","","","","","","","","","77","00:37:25"
"","","","","","","","","","78","00:37:30"
"","","","","","","","","","80","00:37:40"
"","","","","","","","","","81","00:37:45"
"","","","","","","","","","81","00:37:50"
"","","","","","","","","","79","00:38:00"
"","","","","","","","","","78","00:38:05"
"","","","","","","","","","75","00:38:10"
"","","","","","","","","","74","00:38:20"
"","","","","","","","","","72","00:38:30"
"","","","","","","","","","71","00:38:40"
"","","","","","","","","","69","00:38:50"
"","","","","","","","","","68","00:38:55"
"","","","","","","","","","69","00:39:00"
"","","","","","","","","","70","00:39:15"
"","","","","","","","","","70","00:39:30"
"","","","","","","","","","71","00:39:35"
"","","","","","","","","","72","00:39:40"
"","","","","","","","","","73","00:39:55"
"","","","","","","","","","74","00:40:00"
"","","","","","","","","","76","00:40:10"
"","","","","","","","","","78","00:40:15"
"","","","","","","","","","76","00:40:30"
"","","","","","","","","","76","00:40:45"
"","","","","","","","","","75","00:41:00"
"","","","","","","","","","75","00:41:15"
"","","","","","","","","","75","00:41:30"
"","","","","","","","","","74","00:41:40"
"","","","","","","","","","73","00:41:50"
"","","","","","","","","","72","00:41:55"
"","","","","","","","","","72","00:42:10"
"","","","","","","","","","71","00:42:15"
"","","","","","","","","","71","00:42:30"
"","","","","","","","","","72","00:42:40"
"","","","","","","","","","72","00:42:55"
"","","","","","","","","","73","00:43:10"
"","","","","","","","","","73","00:43:25"
"","","","","","","","","","74","00:43:40"
"","","","","","","","","","75","00:43:45"
"","","","","","","","","","76","00:43:50"
"","","","","","","","","","77","00:44:00"
"","","","","","","","","","76","00:44:10"
"","","","","","","","","","76","00:44:25"
"","","","","","","","","","75","00:44:30"
"","","","","","","","","","73","00:44:40"
"","","","","","","","","","72","00:44:45"
"","","","","","","","","","72","00:45:00"
"","","","","","","","","","71","00:45:15"
"","","","","","","","","","71","00:45:20"
"","","","","","","","","","72","00:45:25"
"","","","","","","","","","72","00:45:40"
"","","","","","","","","","72","00:45:55"
"","","","","","","","","","73","00:46:00"
"","","","","","","","","","74","00:46:05"
"","","","","","","","","","75","00:46:15"
"","","","","","","","","","74","00:46:20"
"","","","","","","","","","74","00:46:35"
"","","","","","","","","","74","00:46:40"
"","","","","","","","","","73","00:46:50"
"","","","","","","","","","72","00:47:00"
"","","","","","","","","","71","00:47:10"
"","","","","","","","","","72","00:47:20"
"","","","","","","","","","72","00:47:35"
"","","","","","","","","","71","00:47:40"
"","","","","","","","","","72","00:47:50"
"","","","","","","","","","71","00:48:00"
"","","","","","","","","","71","00:48:15"
"","","","","","","","","","73","00:48:20"
"","","","","","","","","","75","00:48:25"
"","","","","","","","","","77","00:48:30"
"","","","","","","","","","78","00:48:35"
"","","","","","","","","","79","00:48:40"
"","","","","","","","","","82","00:48:45"
"","","","","","","","","","77","00:48:50"
"","","","","","","","","","74","00:48:55"
"","","","","","","","","","74","00:49:00"
"","","","","","","","","","73","00:49:10"
"","","","","","","","","","72","00:49:20"
"","","","","","","","","","73","00:49:25"
"","","","","","","","","","72","00:49:30"
"","","","","","","","","","71","00:49:45"
"","","","","","","","","","71","00:50:00"
"","","","","","","","","","71","00:50:15"
"","","","","","","","","","72","00:50:30"
"","","","","","","","","","73","00:50:45"
"","","","","","","","","","75","00:50:50"
"","","","","","","","","","78","00:50:55"
"","","","","","","","","","82","00:51:00"
"","","","","","","","","","82","00:51:15"
"","","","","","","","","","82","00:51:30"
